trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,10,18.407344641080527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",35,16,-40.48605458466775,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",20,13,14.371926540142647,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,6,-66.93160655908154,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,0,-39.30953021649825,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,10,13.459905320952267,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,4,-26.584655566374813,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,6,-62.601912195802875,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
141,False,"{'a': 0.5, 'e': 0.24659696394160643}",30,13,-67.95419202955956,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",30,13,-34.721237350744595,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",30,19,-34.93435551520249,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,15,10.498140051558693,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,12,17.115111685619777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",30,0,18.975880289803083,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",30,0,24.047509772239223,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,12,4.051229986463024,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
