trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,15,10.511249783347969,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,14,23.328628076980714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",30,16,20.00675706271044,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,10,4.306420552835027,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,16,6.618485872179164,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",30,6,33.59135316683564,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,13,9.968717050827282,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,8,23.944472377229367,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,6,14.807784021061222,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,8,-34.14419035667921,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,0,-42.44110183177847,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,14,-16.179128576144844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.1669601696670407}",35,0,41.815646806852754,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,0,-5.103207641688076,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.16365413680270405}",20,5,13.362359703466,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
